"STATION","NAME","DATE","AWND","DAPR","MDPR","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WDMV","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-17","10.51",,," 1531","0.17",,,,,"49","26",,,"  330","  310",,,,"36.0","50.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-18","20.80",,," 0423","0.00",,,,,"28","19",,,"  290","  310",,,,"38.0","52.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-19","13.65",,," 1251","0.00",,,,,"32","17",,,"  320","  330",,,,"28.0","36.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-20","1.79",,," 1605","0.02",,,,,"31","12",,,"  250","  270",,,,"10.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-21","3.58",,," 2226","0.07",,,,,"41","26",,,"  270","  270",,,,"16.1","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-22","17.45",,," 0934","0.00",,,,,"37","18",,,"  290","  290",,,,"33.1","45.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-23","12.08",,," 1148","0.00",,,,,"31","15",,,"  290","  290",,,,"25.1","31.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-24","2.24",,," 0032","0.00",,,,,"39","14",,,"  360","  350",,,,"10.1","14.1",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-25","5.37",,," 1640","0.07",,,,,"47","17",,,"  170","  190",,,,"18.1","23.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-26","6.71",,," 1302","0.40",,,,,"50","35",,,"  200","  210",,,,"17.0","19.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-27","2.46",,," 0304","0.16",,,,,"41","32",,,"  330","  340",,,,"10.1","13.0",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-28","8.95",,," 2243","0.04",,,,,"35","27",,,"   10","  320",,,,"18.1","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-29","6.49",,," 0001","0.00",,,,,"42","21",,,"  320","  330",,,,"18.1","23.9",,,,,,,,,
"USW00014702","BEDFORD HANSCOM FIELD, MA US","2015-03-30","8.95",,," 1410","0.00",,,,,"43","28",,,"  210","  210",,,,"19.9","23.9",,,,,,,,,
